character,gender,good_vs_bad,universe,first_movie,release_year,sentiment_score
Wolfman,Male,Hero,Disney,The Nightmare Before Christmas,1993,5.4216712707182255
Kopa,Male,Hero,Disney,None,None,5.364001706484647
Malevola De Vil,Female,Villain,Disney,None,None,5.549962686567164
Spring Sprite,Female,Heroine,Disney,Fantasia 2000,1999,5.572733529990168
Zeus (Fantasia),Male,Neutral,Disney,Fantasia,1940,5.563777777777778
Coach Jenkins,Male,Neutral,Disney,Descendants,2015,5.562683823529414
Gil (Descendants),Male,Villain,Disney,Descendants 2,2017,5.504080000000001
Lonnie (Descendants),Female,Heroine,Disney,Descendants,2015,5.580416666666668
Zevon,Male,Villain,Disney,None,None,5.310709677419356
Allison (Hocus Pocus),Female,Heroine,Disney,Hocus Pocus,1993,5.5715274463007125
Billy Butcherson,Male,Hero,Disney,Hocus Pocus,1993,5.343977086743041
Dani Dennison,Female,Heroine,Disney,Hocus Pocus,1993,5.33981610337972
Emily Binx,Female,Neutral,Disney,Hocus Pocus,1993,5.4471844660194195
Mary Sanderson,Female,Villain,Disney,Hocus Pocus,1993,5.455235718247363
Max Dennison,Male,Hero,Disney,Hocus Pocus,1993,5.489331476323115
Sarah Sanderson,Female,Villain,Disney,Hocus Pocus,1993,5.447047576700758
Thackery Binx,Male,Hero,Disney,Hocus Pocus,1993,5.472156040268457
Winifred Sanderson,Female,Villain,Disney,Hocus Pocus,1993,5.424894321364908
Evil Genie,Male,Villain,Disney,None,None,5.248376383763836
Tippe,Female,Heroine,Disney,None,None,5.849066666666666
Azurine,Female,Neutral,Disney,None,None,5.496975308641975
Praline,Male,Neutral,Other,None,None,5.641618257261408
Saffron,Female,Neutral,Disney,None,None,5.656037735849061
Amuk Moonrah,Male,Villain,Disney,None,None,5.306152777777779
Prince Zandar,Male,Neutral,Disney,Sofia the First: Once Upon a Princess,2012,5.658724035608308
Chimera (Hercules),Female,Villain,Other,None,None,5.331263157894738
Bandersnatch,Other,Hero,Disney,Alice in Wonderland,None,5.361922639362909
Frog Servants,Male,Neutral,Disney,Alice in Wonderland,None,5.4158391608391625
King Oleron and Queen Elsemere,Other,Neutral,Disney,Alice Through the Looking Glass,2016,5.448055555555552
Monkey Servants,Other,Neutral,Disney,Alice in Wonderland,None,5.426533333333333
Time,Male,Hero,Disney,Alice Through the Looking Glass,2016,5.443452941176458
King Minos,Male,Neutral,Other,None,None,5.4682258064516125
Minotaur,Male,Villain,Disney,Hercules,1997,5.394200819672131
Mamluks,Other,Villain,Disney,None,None,5.300653266331657
General Gouda,Male,Neutral,Disney,None,None,5.402247191011234
Mothias,Male,Villain,Disney,None,None,5.352597402597401
Prince Uncouthma,Male,Hero,Disney,Aladdin and the King of Thieves,1996,5.408335419274092
Able,Male,Hero,Disney,None,None,5.636923076923077
Beck,Male,Hero,Disney,None,None,5.250981308411212
Zed,Male,Hero,Disney,None,None,5.38875
CLU,Male,Hero,Disney,Tron,1982,5.358633879781422
Cutler,Male,Hero,Disney,None,None,5.235748663101602
Galt,Male,Villain,Disney,None,None,5.4904761904761905
General Tesler,Male,Villain,Disney,None,None,5.340574712643676
Gorn,Female,Villain,Disney,None,None,5.348741007194239
Paige,Female,Villain,Disney,None,None,5.45360103626943
Perl,Female,Villain,Disney,None,None,5.391904761904759
Red Guard,Male,Villain,Disney,Tron,1982,5.378121212121215
Alan Bradley,Male,Hero,Disney,TRON,None,5.349999999999984
Dumont,Male,Neutral,Disney,TRON,None,5.388480243161093
Lora Baines,Female,Heroine,Disney,Tron,1982,5.469788273615632
Quorra,Female,Heroine,Disney,Tron: Legacy,2010,5.399276470588227
Ram,Male,Hero,Disney,Tron,1982,5.440960451977402
Yori (Tron),Female,Heroine,Disney,Tron,1982,5.565684210526319
Abraxas,Male,Villain,Disney,None,None,5.340143626570918
Dyson,Male,Villain,Disney,None,None,5.198842662632371
ISO,Other,Neutral,Disney,None,None,5.333467153284672
Sam Flynn,Male,Hero,Disney,Tron: Legacy,2010,5.47648648648649
Lux,Female,Heroine,Disney,None,None,5.619166666666668
Ada,Female,Heroine,Disney,None,None,5.431117021276597
Roxy,Female,Neutral,Other,None,None,None
"Edward Dillinger, Jr.",Male,Villain,Disney,Tron: Legacy,2010,5.3905345911949665
Anon,Male,Hero,Disney,None,None,5.2694477317554265
Crom,Male,Hero,Disney,Tron,1982,5.402926829268295
Chemistro,Male,Villain,Marvel,None,None,5.5037423312883424
Grey Gargoyle,Male,Neutral,Marvel,None,None,5.430303030303031
Living Laser,Male,Neutral,Marvel,None,None,5.44723926380368
Winter Guard,Other,Hero,Marvel,None,None,5.47184834123223
Valentina Allegra de Fontaine,Female,Neutral,Marvel,Black Widow,None,5.514945848375449
Colonel Heller,Male,Villain,Disney,Bedknobs and Broomsticks,1971,5.209537313432833
Little Hans,Male,Hero,Disney,None,None,5.403478260869565
Alexander Fox Xanatos,Male,Hero,Disney,None,None,5.53155357142857
Anton Sevarius,Male,Villain,Disney,None,None,5.369117647058822
Coldfire,Other,Neutral,Disney,None,None,5.419792843691153
Coldstone,Male,Hero,Disney,None,None,5.347263374485592
Gabriel (Gargoyles),Male,Neutral,Disney,None,None,5.291288888888888
Magus,Male,Hero,Disney,None,None,5.368689516129029
Margot Yale,Female,Neutral,Disney,None,None,5.3730935251798515
Princess Katharine,Female,Heroine,Disney,None,None,5.414006462035539
Tom,Male,Hero,Disney,None,None,5.322370718603087
Avalon Clan,Female,Neutral,Disney,None,None,5.439280303030304
Boudicca,Female,Neutral,Disney,None,None,5.419107981220658
Air Bud (dog),Male,Neutral,Disney,Air Bud,1997,5.7435560859188515
B-Dawg,Male,Hero,Disney,Air Buddies,2006,5.724890710382515
Buddha,Male,Hero,Disney,Air Buddies,2006,5.831265822784807
Halloween Hound,Male,Villain,Disney,Spooky Buddies,2011,5.386293929712459
Molly (Air Bud),Female,Neutral,Disney,Air Bud: World Pup,2000,5.842996515679442
MudBud,Male,Hero,Disney,Air Buddies,2006,5.710650154798763
RoseBud,Female,Heroine,Disney,Air Buddies,2006,5.9024822695035475
Santa Paws,Male,Hero,Disney,The Search for Santa Paws,2010,5.673275167785229
Fox Xanatos,Female,Heroine,Disney,None,None,5.474855813953484
Hakon,Male,Villain,Disney,None,None,5.2317761194029835
Halcyon Renard,Male,Villain,Disney,None,None,5.379690721649483
Oberon,Male,Hero,Disney,None,None,5.44838150289017
Owen Burnett,Male,Villain,Disney,None,None,5.376863207547165
Pack,Female,Villain,Disney,None,None,5.435875486381323
Petros Xanatos,Male,Hero,Disney,None,None,5.793362068965519
Brentwood,Male,Villain,Disney,None,None,5.398519553072627
London Clan,Female,Neutral,Disney,None,None,5.343683127572009
Duncan,Male,Neutral,Disney,None,None,5.387760736196319
Gillecomgain,Male,Villain,Disney,None,None,5.34726315789474
King Arthur (Gargoyles),Male,Hero,Disney,None,None,5.573108504398825
Weird Sisters,Female,Neutral,Disney,None,None,5.302531887755099
Claw,Male,Neutral,Disney,None,None,5.322358490566035
Delilah,Female,Heroine,Disney,Homeward Bound II: Lost in San Francisco,1996,5.410803059273418
Maggie the Cat,Female,Heroine,Disney,None,None,5.4509382716049375
Boggles,Other,Neutral,Disney,None,None,5.4567475728155355
Grammi Gummi,Female,Heroine,Disney,None,None,5.528974358974361
Gusto Gummi,Male,Hero,Disney,None,None,5.426597222222216
Ogres,Male,Villain,Disney,None,None,5.313014925373136
Captain of the Guard (Gargoyles),Male,Villain,Disney,None,None,5.262358974358971
Adria Lafayette,Female,Heroine,Marvel,None,None,5.826086956521739
James Lafayette Jr.,Male,Hero,Marvel,None,None,5.778733031674206
Mimi Lafayette,Female,Heroine,Other,None,None,5.8249142857142875
Pops Lafayette,Male,Hero,Other,None,None,5.818860103626945
Kora,Female,Heroine,Other,None,None,5.395842129417161
Ace Peterson,Male,Neutral,Other,None,None,5.421679999999999
Akela Amador,Female,Neutral,Other,None,None,5.3249152542372915
Lucio,Male,Villain,Other,None,None,5.344038461538461
President Matthew Ellis,Male,Neutral,Other,Iron Man 3,None,5.278890356671068
Hellfire (Marvel),Male,Villain,Other,None,None,5.2795580110497236
Holden Radcliffe,Male,Villain,Marvel,None,None,5.508092485549129
Patriot (Jeffrey Mace),Male,Hero,Marvel,None,None,5.389477434679339
Ruby Hale,Female,Villain,Other,None,None,5.627333333333332
Gordon,Male,Neutral,Pixar,Brave,2012,5.489999999999999
Superior,Other,Villain,Marvel,None,None,5.3132131147541015
Sarge (Marvel),Male,Villain,Marvel,None,None,5.603076923076922
Ned Leeds' Lola,Female,Neutral,Other,Spider-Man: No Way Home,None,5.50120588235294
Colleen Wing,Female,Heroine,Marvel,None,None,5.472945454545455
Misty Knight,Female,Heroine,Marvel,None,None,5.420894454382829
Betty Brant,Female,Neutral,Marvel,Spider-Man: Homecoming,None,5.5099220272904486
Captain George Stacy,Other,Hero,Marvel,Marvel Rising: Initiation,None,5.740213903743317
Helen Stacy,Female,Heroine,Marvel,None,None,5.776795580110496
Patriot (Rayshaun Lucas),Other,Hero,Marvel,Marvel Rising: Secret Warriors,None,5.769783783783782
Spider-Slayers,Other,Hero,Marvel,None,None,5.202794676806085
Rio Morales,Female,Heroine,Marvel,None,None,5.7789247311827925
General Dreykov,Male,Villain,Other,Black Widow,None,5.408408644400785
Dottie Underwood,Female,Villain,Other,None,None,5.274023991275896
Ben and Lon,Male,Neutral,Disney,Pocahontas,1995,5.351163854732625
Wiggins,Male,Neutral,Disney,Pocahontas,1995,5.387888513513513
Abraham Kane,Male,Villain,Disney,None,None,5.360305555555556
Jacob (Motorcity),Male,Hero,Disney,None,None,5.5068652037617545
Julie Kane,Female,Heroine,Disney,None,None,5.5302105263157895
Mike Chilton,Male,Hero,Disney,None,None,5.3812095400340665
Chuck (Motorcity),Male,Hero,Disney,None,None,5.501934306569342
Dutch Gordy,Male,Hero,Disney,None,None,5.547756232686979
Claire (Motorcity),Female,Heroine,Disney,None,None,5.518738738738736
Duke of Detroit,Male,Villain,Disney,None,None,5.450731707317072
Kaia,Female,Villain,Disney,None,None,5.345818965517244
Red (Motorcity),Male,Villain,Disney,None,None,5.311614035087714
Darr Gordy,Male,Neutral,Disney,None,None,5.588941176470586
Terra (Motorcity),Female,Hero,Disney,None,None,5.330223463687149
Abraslam Lincoln,Male,Neutral,Disney,None,None,5.418083832335329
Lady Lady,Female,Neutral,Disney,None,None,5.808727272727275
Antauri,Male,Neutral,Disney,None,None,5.512346063912701
Chiro,Male,Hero,Disney,None,None,5.477980014275515
Nova (Super Robot Monkey Team Hyperforce Go!),Female,Heroine,Disney,None,None,5.375645530939653
Otto (Super Robot Monkey Team Hyperforce Go!),Other,Neutral,Disney,None,None,5.486288308740069
Flint (Marvel),Male,Hero,Marvel,None,None,5.546941176470588
Haechi,Other,Hero,Marvel,None,None,5.599741379310346
Jinmay,Other,Neutral,Disney,None,None,5.446623376623376
The Skeleton King,Male,Villain,Disney,None,None,5.280463510848128
Valeena,Female,Villain,Disney,None,None,5.400853391684905
Gyrus Krinkle,Male,Villain,Disney,None,None,5.421594405594406
Sakko,Male,Villain,Disney,None,None,5.498861788617886
Super Robot,Other,Hero,Disney,None,None,5.702397260273972
Abriola Stark,Female,Neutral,Disney,None,None,5.535999999999997
Milo Kamalani,Male,Hero,Disney,None,None,5.511432926829267
Nicky Little,Female,Heroine,Disney,None,None,5.473202531645573
Roland Carter,Male,Neutral,Disney,None,None,5.454641975308639
Gwen Mezzrow,Female,Heroine,Disney,None,None,5.43746153846154
Becky Little,Female,Neutral,Disney,None,None,5.654257425742576
Craig Bean,Male,Neutral,Disney,None,None,5.539667896678969
Stewart Walldinger,Male,Hero,Disney,None,None,5.439806949806948
Chuck Pearson,Male,Neutral,Disney,None,None,5.5499804687499985
Janie Diggety,Female,Neutral,Disney,None,None,5.624225352112673
JoJo Diggety,Male,Hero,Disney,None,None,5.492875318066158
Lydia Pearson,Female,Heroine,Disney,None,None,5.533271162123385
Moose Pearson,Female,Neutral,Disney,None,None,5.517272727272728
Pepper Ann's reflection,Female,Neutral,Disney,None,None,5.549126984126987
Dieter Liederhosen,Male,Hero,Disney,None,None,5.449550781249997
Frieda Pesky,Other,Heroine,Disney,None,None,5.8114912280701745
Frobots,Other,Villain,Disney,None,None,5.37524654832347
King Aldrich,Male,Villain,Disney,None,None,5.494418145956605
Crash (Pepper Ann),Male,Neutral,Disney,None,None,5.3564720194647215
Absolem,Male,Hero,Disney,Alice in Wonderland,None,5.617105263157895
Hamish Ascot,Male,Villain,Disney,Alice in Wonderland,None,5.481081612586032
Armored Cards,Male,Villain,Disney,Alice in Wonderland,None,5.323558792924038
Bayard,Male,Hero,Disney,Alice in Wonderland,None,5.434603524229081
Charles Kingsleigh,Other,Neutral,Disney,Alice in Wonderland,None,5.5001624548736485
Helen Kingsleigh,Female,Neutral,Disney,Alice in Wonderland,None,5.542223950233279
Lord Ascot,Male,Neutral,Disney,Alice in Wonderland,None,5.686301369863012
Lowell Manchester,Male,Neutral,Disney,Alice in Wonderland,None,5.608703703703706
Mallymkun,Female,Heroine,Disney,Alice in Wonderland,None,5.4193862520458245
Margaret Kingsleigh,Female,Neutral,Disney,Alice in Wonderland,None,5.58065445026178
Nivins McTwisp,Male,Neutral,Disney,Alice in Wonderland,None,5.5190096286107275
Nobody (Alice in Wonderland),Female,Neutral,Disney,Alice Through the Looking Glass,2016,5.3804986522911005
Uilleam,Male,Neutral,Disney,Alice in Wonderland,None,5.556795366795366
Armored Chess Pieces,Other,Neutral,Disney,Alice in Wonderland,None,5.394849624060149
Thackery Earwicket,Other,Hero,Disney,Alice in Wonderland,None,5.4991489361702115
The Jub Jub Bird,Male,Villain,Other,Alice in Wonderland,None,5.3102465753424655
Bielle,Other,Heroine,Disney,Alice in Wonderland,None,5.606208530805686
Dr. Lydgate,Male,Neutral,Other,None,None,5.439084668192218
Fiona and Faith Chattaway,Female,Villain,Disney,Alice in Wonderland,None,5.555570934256052
Seconds,Other,Neutral,Disney,Alice Through the Looking Glass,2016,5.410239452679586
Wilkins,Other,Neutral,Disney,Alice Through the Looking Glass,2016,5.391898584905657
Tyva Hightopp,Female,Neutral,Disney,Alice Through the Looking Glass,2016,5.500553571428568
Zanik Hightopp,Male,Neutral,Disney,Alice Through the Looking Glass,2016,5.483793626707129
Azmorigan,Other,Villain,Other,None,None,5.192419006479484
Hutt,Other,Villain,Star Wars,Star Wars: The Phantom Menace,None,5.214644714038125
Rancor,Other,Neutral,Other,Star Wars: Return of the Jedi,None,5.196141666666657
Boscha,Female,Villain,Disney,None,None,5.512115848753012
Vee,Female,Neutral,Disney,None,None,5.356804469273738
Dionysus,Male,Hero,Disney,Hercules,1997,5.690779467680613
Echidna,Female,Villain,Disney,None,None,5.560409482758624
Hermes,Male,Hero,Disney,Hercules,1997,5.553351955307262
Medusa (Hercules),Female,Heroine,Disney,None,None,5.433902671755728
Cupid,Male,Neutral,Disney,Hercules,1997,5.529671814671814
Great King Pan,Male,Neutral,Disney,None,None,5.628283582089552
Nemesis,Female,Villain,Disney,None,None,5.380470588235294
Pluto (The Goddess of Spring),Male,Villain,Disney,The Goddess of Spring,1934,5.443611111111113
Muses,Female,Neutral,Disney,Hercules,1997,5.583675213675212
The Grim Reaper,Male,Villain,Disney,The Nightmare Before Christmas,1993,5.30166353971233
Artemis,Female,Neutral,Disney,Hercules,1997,5.566466942148755
Athena,Female,Neutral,Disney,Hercules,1997,5.484528985507251
Hephaestus,Male,Neutral,Disney,Hercules,1997,5.414735249621787
Rhea,Other,Neutral,Disney,None,None,5.447010309278352
Hayabusa the Falcon,Male,Villain,Disney,Mulan,1998,5.316435464414962
Morpheus (Hercules),Male,Neutral,Disney,Hercules,1997,5.528341232227482
Phantasos,Male,Villain,Disney,None,None,5.587246963562755
Typhon,Male,Villain,Disney,None,None,5.39058350100603
Black Barty,Male,Hero,Disney,None,None,5.425880503144653
East India Trading Company,Other,Villain,Disney,Pirates of the Caribbean: Dead Man's Chest,2006,5.362630303030309
Giselle (Pirates of the Caribbean),Female,Heroine,Disney,Pirates of the Caribbean: The Curse of the Black Pearl,2003,5.280451977401128
Henry Turner,Male,Hero,Disney,Pirates of the Caribbean: At World's End,2007,5.383326797385615
James Norrington,Male,Hero,Disney,Pirates of the Caribbean: The Curse of the Black Pearl,2003,5.320103260869568
Koehler,Male,Villain,Disney,Pirates of the Caribbean: The Curse of the Black Pearl,2003,5.233312007874017
Murtogg and Mullroy,Male,Neutral,Disney,Pirates of the Caribbean: The Curse of the Black Pearl,2003,5.227360594795534
Philip Swift,Male,Hero,Disney,Pirates of the Caribbean: On Stranger Tides,2011,5.25387608069164
Scarlett,Female,Heroine,Disney,Pirates of the Caribbean: The Curse of the Black Pearl,2003,5.2591201716738185
Syrena,Female,Heroine,Disney,Pirates of the Caribbean: On Stranger Tides,2011,5.40558315334774
The Pooped Pirate,Male,Villain,Disney,None,None,5.313956043956046
Uncle Jack,Male,Hero,Disney,Pirates of the Caribbean: Dead Men Tell No Tales,2017,5.389835164835167
Apollo (Hercules),Male,Hero,Disney,Hercules,1997,5.5414801444043285
Stheno,Female,Villain,Disney,Hercules,1997,5.333978494623658
Queen of Hearts (Alice's Wonderland Bakery),Female,Neutral,Disney,None,None,5.811147540983602
Prometheus,Male,Hero,Disney,None,None,5.332865168539322
Emma Tutweiller,Female,Neutral,Disney,None,None,5.5423775216138305
Witch in the Candy House,Female,Villain,Disney,Mickey's House of Villains,2002,5.456507936507934
Azma,Female,Villain,Other,None,None,5.443014705882353
Bucky the Squirrel,Male,Hero,Disney,The Emperor's New Groove,2000,5.481608247422677
Chicha,Female,Heroine,Disney,The Emperor's New Groove,2000,5.551869017632235
Kronk,Male,Hero,Disney,The Emperor's New Groove,2000,5.4495718774548285
Malina,Female,Heroine,Disney,None,None,5.50998222222223
"Mick, Bowie, and Lemmy",Male,Villain,Other,The Emperor's New Groove,2000,5.558709677419355
Supai,Male,Villain,Other,None,None,5.420814814814814
Pandora,Female,Heroine,Disney,None,None,5.213065693430661
Antonio,Male,Villain,Disney,None,None,5.575692307692309
Señora Guzmán,Female,Heroine,Disney,Encanto,2021,5.640604651162791
Boreas (Hercules),Other,Villain,Disney,None,None,5.4528000000000025
Charon,Male,Neutral,Disney,Hercules,1997,5.409547920433994
Circe (Hercules),Female,Heroine,Other,None,None,5.60992
Narcissus,Male,Neutral,Disney,Hercules,1997,5.689411764705882
Nike,Female,Neutral,Disney,None,None,5.56666666666667
Trivia,Male,Neutral,Disney,Hercules,1997,5.521672473867599
Askari,Male,Neutral,Disney,None,None,5.469162526614619
Banagi,Male,Villain,Disney,King of the Jungle,None,5.169348034515822
Cheezi,Other,Villain,Other,The Lion Guard: Return of the Roar,2015,5.249042857142859
Chungu,Male,Villain,Disney,The Lion Guard: Return of the Roar,2015,5.236304945054947
Kenge,Male,Villain,Disney,None,None,5.285627090301001
Kiburi's Float,Other,Neutral,Other,None,None,5.234938775510206
Kiburi,Male,Neutral,Disney,None,None,5.214152610441769
Madoa,Female,Neutral,Other,None,None,5.399358799454297
Mwoga,Male,Neutral,Disney,The Lion Guard: Return of the Roar,2015,5.2667834101382445
Mzingo's Parliament,Other,Neutral,Disney,The Lion Guard: Return of the Roar,2015,5.4140799999999984
Njano,Other,Villain,Disney,None,None,5.258835136855506
Nobi,Male,Hero,Disney,The Lion King,1994,5.474821763602249
Reirei's Pack,Other,Villain,Disney,None,None,5.370095541401277
Reirei,Female,Neutral,Disney,None,None,5.36329084041549
Shupavu,Female,Villain,Other,The Rise of Scar,None,5.277894736842101
Tunu and Wema,Female,Neutral,Other,None,None,5.374640522875813
Uru,Female,Neutral,Disney,None,None,5.549315068493155
Zeus (DuckTales),Male,Villain,Disney,None,None,5.37796052631579
Troy,Male,Neutral,Disney,None,None,5.684533333333337
Jack (Laugh-O-Gram shorts),Male,Hero,Disney,None,None,5.484340659340651
Captain Churchmouse,Male,Neutral,Other,None,None,5.8257534246575355
Baker (Into the Woods),Male,Hero,Disney,Into the Woods,2014,5.392034188034193
Scara,Female,Neutral,Disney,None,None,5.675551020408163
Abuelito,Male,Neutral,Disney,None,None,5.928119658119656
Manny Garcia,Male,Hero,Disney,Handy Manny: The Movie,None,5.622664783427494
Dusty,Female,Neutral,Disney,None,None,5.604364640883981
Felipe,Male,Neutral,Disney,None,None,5.563166666666669
Flicker,Male,Neutral,Disney,None,None,5.618729016786575
Kelly,Female,Neutral,Disney,None,None,5.794357541899441
Oso,Male,Hero,Disney,None,None,5.61218181818182
Pat,Other,Neutral,Disney,None,None,5.591680327868854
Rusty (Handy Manny),Male,Neutral,Disney,None,None,5.537727272727273
Squeeze,Other,Neutral,Disney,None,None,5.66952755905512
Stretch (Handy Manny),Male,Hero,Disney,None,None,5.727815533980583
Turner,Male,Neutral,Disney,None,None,5.457053291536051
Fix-It,Other,Neutral,Disney,None,None,5.6872222222222195
AC-38,Other,Neutral,Other,None,None,5.407448071216616
Aly San San,Other,Neutral,Disney,None,None,5.532121212121209
ROX-N,Other,Neutral,Other,None,None,5.854999999999999
RC Car,Male,Hero,Pixar,Toy Story,1995,5.525024595924106
Aldetha Teach,Female,Neutral,Disney,None,None,5.503252032520325
Constance,Female,Heroine,Disney,The Three Musketeers,1993,5.535518867924526
Emma (The Haunted Mansion),Female,Heroine,Disney,The Haunted Mansion,None,5.43097192224622
Ezra,Male,Hero,Disney,The Haunted Mansion,None,5.35227436823105
Madame Canardist,Female,Neutral,Disney,None,None,5.371669793621014
Megan Evers,Female,Heroine,Disney,The Haunted Mansion,None,5.5277692307692305
Pony Head,Female,Neutral,Other,None,None,5.542394736842105
Vigor,Male,Neutral,Disney,Tangled,2010,5.38887850467289
Zeke Holloway,Male,Hero,Disney,None,None,5.417989949748744
S.T.A.R.,Other,Villain,Disney,The Black Hole,1979,5.139330708661414
AP-5,Other,Hero,Other,None,None,5.286560975609759
Ketsu Onyo,Female,Neutral,Other,None,None,5.239161118508659
Tiber Saxon,Male,Villain,Other,None,None,5.276572327044025
Tristan Wren,Male,Hero,Disney,None,None,5.487743589743589
Ursa Wren,Female,Heroine,Star Wars,None,None,5.220686274509801
Accordion Owl,Other,Neutral,Disney,Alice in Wonderland,None,5.523617977528091
Cage Bird,Other,Neutral,Disney,Alice in Wonderland,None,5.42341052631579
Kit Secord,Female,Heroine,Disney,None,None,5.710061601642708
Jack (Into the Woods),Male,Neutral,Disney,Into the Woods,2014,5.645497076023394
Aunt Em,Female,Neutral,Disney,Return to Oz,1985,5.446969026548666
Bill the Lizard,Male,Neutral,Disney,Alice in Wonderland,None,5.433180147058816
Hawk (Alice in Wonderland),Male,Neutral,Disney,Alice in Wonderland,None,5.626190476190474
Toucan (Alice in Wonderland),Male,Neutral,Disney,Alice in Wonderland,None,5.6280597014925355
The Woodcutter,Male,Hero,Other,None,None,5.413964757709247
Zack Martin,Male,Hero,Disney,The Suite Life Movie,2011,5.525882527439927
Gegeneis,Male,Villain,Disney,None,None,5.4436338797814185
Syrinx,Female,Neutral,Disney,None,None,5.604071428571428
Walt Disney (Saving Mr. Banks character),Male,Hero,Disney,Saving Mr. Banks,2013,5.716690647482016
Gwyn,Female,Heroine,Disney,Princess of Thieves,None,5.553994252873559
Jonathan,Male,Neutral,Other,None,None,5.4302564102564075
Robin Hood (Princess of Thieves),Male,Hero,Disney,Princess of Thieves,None,5.538774193548383
Foxy Loxy (1943),Male,Villain,Disney,None,None,5.412849162011167
Fergie the White Rabbit,Male,Hero,Disney,None,None,5.847928286852591
Ace London,Male,Villain,Disney,None,None,5.365822328931569
General Patton,Male,Neutral,Disney,None,None,5.378114143920594
Danny (101 Dalmatians),Male,Hero,Disney,One Hundred and One Dalmatians,1961,5.472833052276559
Scottie,Male,Neutral,Disney,One Hundred and One Dalmatians,1961,5.490557768924306
Thunderbolt,Male,Hero,Disney,One Hundred and One Dalmatians,1961,5.41513888888889
Covington,Male,Villain,Disney,None,None,5.348953488372095
Henry (TaleSpin),Male,Neutral,Disney,None,None,5.444579673776658
MacKnee,Male,Villain,Disney,None,None,5.251095238095235
Sergeant Dunder,Male,Neutral,Disney,None,None,5.398967889908255
Cordelia the Conjuror,Female,Neutral,Disney,None,None,5.56411764705882
Goodwyn the Great,Male,Neutral,Disney,None,None,5.613814655172412
Lord Cedric,Other,Villain,Disney,None,None,5.349179389312983
Will Vandom,Female,Heroine,Disney,W.I.T.C.H.: The Movie,None,5.507693557119654
Winifred the Wise,Female,Neutral,Disney,None,None,5.719872773536892
Kai (Sofia the First),Male,Neutral,Disney,None,None,5.766504424778764
Prince Jin,Male,Neutral,Disney,None,None,5.628506616257085
Carol of the Arrow (character),Female,Heroine,Disney,None,None,5.604417862838915
Count Barnstorm,Male,Neutral,Disney,None,None,5.618634812286691
Electra (Sofia the First),Female,Neutral,Disney,None,None,5.550396551724137
Gavin,Male,Villain,Disney,None,None,5.505328719723186
Gemina and Argus,Female,Neutral,Disney,None,None,5.6756074766355145
Jane (Sofia the First),Female,Heroine,Disney,None,None,5.498904761904761
Jasper,Male,Neutral,Disney,None,None,5.554211711711712
Madam Ubetcha,Female,Neutral,Disney,None,None,5.7749999999999995
Onyx and Opal,Female,Neutral,Disney,None,None,5.65232558139535
Prince Hugo,Male,Hero,Disney,None,None,5.535381310418907
Prince Roderick,Male,Villain,Disney,None,None,5.3824371373307525
Princess Hildegard,Female,Neutral,Disney,Elena and the Secret of Avalor,2016,5.575852047556138
Professor Zacharias Fleeber,Male,Neutral,Disney,None,None,5.600661157024795
Sir Gillium,Male,Neutral,Disney,None,None,5.577941176470588
Sir Oliver,Male,Villain,Disney,None,None,5.372891428571427
Vaughan and Vance,Male,Villain,Disney,None,None,5.509079283887466
Wendell Fidget,Male,Villain,Disney,None,None,5.46231668437832
Princess Charlotte,Female,Heroine,Disney,None,None,5.507258485639686
Mamanu,Female,Villain,Disney,None,None,5.3419117647058805
Acer,Male,Villain,Pixar,Cars 2,2011,5.29213698630137
Grem,Male,Villain,Pixar,Cars 2,2011,5.334865350089768
Rod Redline,Male,Hero,Pixar,Cars 2,2011,5.366370331404519
Tony Trihull,Male,Villain,Pixar,Cars 2,2011,5.220051216389247
Fred (Cars),Male,Neutral,Pixar,Cars,2006,5.4855668934240365
Tomber,Male,Hero,Pixar,Cars 2,2011,5.5031725616291505
Frank (Cars),Male,Villain,Pixar,Cars,2006,5.518409506398537
Miss Fritter,Female,Neutral,Pixar,Cars 3,2017,5.4088868613138725
"Ray Peyton, Sr.",Male,Neutral,Disney,Herbie: Fully Loaded,2005,5.5161490683229815
Tractors,Female,Neutral,Disney,Cars,2006,5.5513389711064125
Cad Spinner,Male,Villain,Disney,Planes: Fire & Rescue,2014,5.337932862190806
Cal Weathers,Male,Neutral,Pixar,Cars 3,2017,5.509239543726234
Lynda Weathers,Female,Heroine,Pixar,Cars,2006,5.58487229862475
Jerry Recycled Batteries,Male,Neutral,Pixar,Cars,2006,5.365728643216078
Sheriff,Male,Hero,Pixar,Cars,2006,5.3930966638152205
Harv,Male,Neutral,Pixar,Cars,2006,5.472839951865224
P.T. Flea,Male,Hero,Pixar,A Bug's Life,1998,5.311501443695862
Big D (That's So Raven),Male,Neutral,Disney,None,None,5.495412844036697
Soggy Joe,Male,Hero,Disney,None,None,5.534824561403508
Blade Ranger,Male,Neutral,Disney,Planes: Fire & Rescue,2014,5.226730265619141
Boat Reynolds,Male,Neutral,Disney,Planes: Fire & Rescue,2014,5.70269076305221
Bravo and Echo,Male,Neutral,Disney,Planes,2013,5.444195488721804
Bulldog,Male,Neutral,Disney,Planes,2013,5.435064935064937
Cabbie,Male,Neutral,Disney,Planes: Fire & Rescue,2014,5.475197740112995
Chug,Male,Hero,Disney,Planes,2013,5.337257240204432
Dottie (Planes),Female,Heroine,Disney,Planes,2013,5.3530358504958
